Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
semeion,Perceptron,0.896551724137931,0.9122257053291536,0.896551724137931,0.8647798742138365,0.8301886792452831,0.880059541412827,0.029323087853138877,0.5103919506072998,0.015640974044799805
semeion,MLP,0.9247648902821317,0.9404388714733543,0.9216300940438872,0.9119496855345912,0.9119496855345912,0.9221466453737112,0.010485070789255809,8.325454711914062,0.020310163497924805
isolet,DecisionTree,0.8064102564102564,0.8147435897435897,0.7973059653624118,0.8268120590121874,0.8184733803720333,0.8127490501800958,0.010130977610980004,23.530025243759155,0.02682662010192871
isolet,SVM,0.9621794871794872,0.9576923076923077,0.9621552277100706,0.967928159076331,0.9557408595253367,0.9611392082367066,0.004224396324314529,12.891197204589844,11.671753644943237
isolet,KNN,0.8987179487179487,0.8775641025641026,0.8922386144964721,0.9031430404105195,0.8832584990378448,0.8909844410453776,0.009476363177347395,0.13448476791381836,0.6223623752593994
isolet,LogisticRegression,0.9634615384615385,0.9551282051282052,0.9634381013470174,0.9621552277100706,0.9570237331622835,0.960241361161823,0.003485658313297022,19.103907823562622,0.04404258728027344
isolet,Perceptron,0.9576923076923077,0.9467948717948718,0.9441949967928159,0.9480436177036562,0.9416292495189224,0.9476710087005149,0.005475735560093873,16.957426071166992,0.02993011474609375
isolet,MLP,0.9653846153846154,0.9564102564102565,0.9615137908915972,0.9660038486209108,0.9576651699807569,0.9613955362576274,0.003896971310996092,154.7166862487793,0.07048678398132324
cnae-9,DecisionTree,0.8842592592592593,0.8796296296296297,0.8703703703703703,0.8564814814814815,0.8333333333333334,0.8648148148148147,0.018379104853036298,0.17297959327697754,0.027804136276245117
cnae-9,SVM,0.9120370370370371,0.9259259259259259,0.9305555555555556,0.9398148148148148,0.8888888888888888,0.9194444444444445,0.017714005990471293,1.393866777420044,0.35010480880737305
cnae-9,KNN,0.8611111111111112,0.8611111111111112,0.8425925925925926,0.8842592592592593,0.8240740740740741,0.8546296296296297,0.020201318730806904,0.03274798393249512,0.042411088943481445
cnae-9,LogisticRegression,0.9351851851851852,0.9398148148148148,0.9583333333333334,0.9537037037037037,0.9166666666666666,0.9407407407407409,0.01475683097269375,0.3155200481414795,0.02543926239013672
cnae-9,Perceptron,0.9259259259259259,0.9259259259259259,0.9398148148148148,0.9351851851851852,0.9120370370370371,0.9277777777777777,0.009532990871284237,0.5568997859954834,0.027178049087524414
cnae-9,MLP,0.9444444444444444,0.9537037037037037,0.9675925925925926,0.9629629629629629,0.9490740740740741,0.9555555555555555,0.008586683792125639,35.794461727142334,0.04292416572570801
ilpd-numeric,DecisionTree,0.6239316239316239,0.6581196581196581,0.6239316239316239,0.6551724137931034,0.6293103448275862,0.6380931329207191,0.01530357858180142,0.021945953369140625,0.009160995483398438
ilpd-numeric,SVM,0.717948717948718,0.7094017094017094,0.7094017094017094,0.7155172413793104,0.7155172413793104,0.7135573239021515,0.0035072826649511354,0.06703615188598633,0.02762913703918457
ilpd-numeric,KNN,0.6837606837606838,0.6495726495726496,0.6666666666666666,0.7068965517241379,0.6637931034482759,0.6741379310344827,0.0196571254351166,0.009509801864624023,0.014348030090332031
ilpd-numeric,LogisticRegression,0.7350427350427351,0.7521367521367521,0.6666666666666666,0.6810344827586207,0.7586206896551724,0.7187002652519894,0.03769594623076295,0.4959075450897217,0.007945775985717773
