Dataset,Best,min.histogram.9,h_mean.histogram.9,var.histogram.0,class_conc.histogram.0,best_node.max,mad.histogram.0,elite_nn.median.relative,t_mean.histogram.9,worst_node.mean.relative,tree_depth.histogram.5,range.histogram.0,best_node.histogram.6,g_mean.histogram.9,random_node.histogram.8.relative,one_nn.max.relative,cov.histogram.0,cov.min,naive_bayes.histogram.5
jEdit_4.2_4.3_did1048,KNN,0.125,0.125,0.75,0.25,0.7297297297297297,0.625,2.5,0.125,4.0,0.1268292682926829,0.75,0.0,0.125,6.0,5.5,0.8214285714285714,0.0074893955461298,0.1
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,MLP,0.0,0.0,0.3333333333333333,0.1666666666666666,0.64,0.1666666666666666,3.0,0.3333333333333333,1.0,0.3224530168150346,0.3333333333333333,0.1,0.0,2.0,7.0,0.2,0.0163179089544772,0.1
kc2_did1063,SVM,0.3809523809523809,0.0952380952380952,0.9523809523809524,0.4285714285714285,0.9245283018867924,0.9047619047619048,1.0,0.0476190476190476,6.0,0.1021897810218978,0.9523809523809524,0.0,0.0476190476190476,5.5,1.0,0.9904761904761904,0.0377633198755708,0.2
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,LogisticRegression,0.05,0.0909090909090909,0.75,0.25,0.875,0.8,3.5,0.05,2.0,0.2031602708803611,0.7,0.0,0.0871212121212121,2.5,4.0,0.963157894736842,0.4079014507253626,0.1
machine_cpu_did733,LogisticRegression,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.1666666666666666,1.0,0.6666666666666666,2.5,0.1666666666666666,3.0,0.1935483870967742,0.6666666666666666,0.0,0.1666666666666666,2.5,5.0,0.9333333333333332,97.15807876334192,0.0
maternal_health_risk_did46600,DecisionTree,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.6237623762376238,0.3333333333333333,4.0,0.1666666666666666,2.0,0.2167182662538699,0.3333333333333333,0.2,0.1666666666666666,6.0,7.0,0.6666666666666666,0.4674482613597199,0.0
mental_health_detection_did46879,DecisionTree,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.4629629629629629,0.0,2.0,0.1428571428571428,1.0,0.0983606557377049,0.2857142857142857,0.0,0.1428571428571428,3.0,7.0,0.0439560439560439,0.0199890057032908,0.0
mfeat-morphological_did962,LogisticRegression,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.3333333333333333,1.0,0.8333333333333334,3.0,0.1666666666666666,1.0,0.1481481481481481,0.8333333333333334,0.0,0.1666666666666666,2.5,4.0,0.9333333333333332,0.0008526763381686,0.0
mu284_did880,DecisionTree,0.1,0.1,0.8,0.7,1.0,0.8,6.0,0.1,2.0,0.0,0.7,0.0,0.1,3.5,3.0,0.9333333333333332,0.0780371273577873,0.0
mw1_did1071,SVM,0.027027027027027,0.027027027027027,0.972972972972973,0.1621621621621621,0.925,0.945945945945946,3.0,0.027027027027027,6.5,0.0952380952380952,0.972972972972973,0.0,0.027027027027027,3.0,1.5,0.996996996996997,0.0005805038085009,0.0
